"","2037_003","1028_017","1041_002","1028_016","1062_010","2025_013","1062_001","2052_004","1027_003","1045_013","1041_001","1004_002","1021_004","1062_005","2044_004","1021_003","1041_003","1002_002","1004_009","2025_005","1003_005","2025_010","2040_006","2082_003","1012_010","2011_004","2002_007","1028_006","1009_003","1038_005","1045_005","1053_003","1002_001","1045_009","1028_014","1008_001","1046_006","1053_006","2076_007","1046_005","2052_008","1024_008","1027_001","1045_011","2095_007","1028_015","2025_012","1062_003","2002_009","2035_018","2074_003","2094_003","1009_013","2035_016","2002_004","1054_012","1024_007","2074_008","1045_012","1054_007","1054_005","1012_006","1024_013","2009_009","2094_007","2038_019","1026_010","1012_005","1053_005","2065_009","2038_016","1041_007","1009_010","2035_001","1008_008","1004_007","1002_009","2035_006","1045_002","1002_004","2017_008","2038_001","1003_001","1008_009","2002_011","1009_006","2095_005","2024_004","2035_002","1024_011","2038_011","1026_009","1054_011","2015_002","1092_002","2002_010","1046_009","2025_009","2065_012","2044_006","2045_004","1026_007","2015_004","1024_002","1038_006","1054_013","1046_010","2015_003","2002_006","1027_002","1062_002","1045_004","1008_004","1024_004","2052_009","1024_005","1012_013","2037_005","2038_007","2082_002","2073_007","2074_004","2095_004","2095_002","2034_004","2073_006","1008_010","2044_003","1054_009","1045_007","1054_021","2002_012","1012_001","2028_002","1008_007","2082_006","1054_001","1012_009","2052_007","2052_001","1009_009","2003_008","2025_011","1002_011","1008_002","2016_003","2095_001","2038_002","1004_004","1054_014","2073_001","1045_014","2017_010","2076_005","1062_009","2034_005","1062_006","2052_005","2038_003","2035_015","2028_001","1008_012","2017_009","2016_005","1092_001","2038_005","2038_006","1004_010","1009_004","1024_006","2007_003","1028_011","1028_002","2016_001","2052_006","1003_007","1038_009","2044_012","1003_009","2017_011","2073_005","2044_010","1002_012","2073_003","1041_009","1054_002","1004_006","1024_003","1041_006","1009_008","1054_019","2094_006","2076_003","1053_004","2035_003","1028_009","2007_001","1012_004","1012_011","1028_010","2024_003","1009_001","1028_007","2007_002","2065_007","1054_016","2073_004","2045_003","1028_013","2042_007","1054_008","2094_002","2044_013","1054_004","2073_002","1028_004","1010_007","1002_006","2024_002","1004_013","1008_006","2035_009","2065_004","1054_018","1036_001","2008_003","1009_012","2046_004","1062_008","2043_004","1041_005","2012_009","1002_007","1004_011","2011_005","1036_004","1004_001","2025_008","2094_005","2065_005","2074_005","1046_003","1054_020","1002_014","2040_007","2052_003","1002_003","1045_006","2038_013","2045_006","1024_009","1041_004","1041_008","2035_014","2002_005","1003_004","2040_008","2002_013","1054_017","1004_008","2095_003","2074_009","1054_010","1009_011","1021_005","2038_014","2035_007","2012_007","1012_012","1004_014","1045_003","1038_007","1008_003","2012_006","2035_005","1003_008","2042_002","2065_002","1027_004","1024_012","2025_007","2019_003","1012_003","2008_001","2038_018","1026_005","2065_006","2031_003","1054_015","2038_012","2038_008","2046_003","1012_002","1028_008","2035_008","2095_006","2011_006","2035_022","1054_003","2074_001","1045_010","1046_007","1003_006","2035_004","1002_013","2038_010","1008_014","2094_004","1045_008","2042_004","2008_002","1062_004","1092_003","2065_003","2052_002","1021_006","1054_006","2012_008","2019_005","1024_014","2076_006","1024_010","1002_010","2074_006","2025_014","2000_003","1038_002","2009_004","1026_003","2022_007","1053_007","2006_004","2017_005","2009_002","1010_006","2009_007","1021_002","2022_002","1000_002","2000_008","2006_001","2011_002","1053_001","2009_006","1000_005","1046_004","2022_005","2022_004","2006_005","2009_005","2000_001","2034_001","2006_003","2034_003","taxonomy"
"OTU_1",347,32225,11919,22846,0,33385,21662,0,0,20956,9930,24240,32133,28091,37571,23951,28962,0,1748,11028,33083,2665,424,20289,14984,0,37613,1569,7609,0,3730,0,0,0,1233,24318,0,2992,37542,0,0,18345,0,35430,24887,2917,28890,32454,9925,172,4,34120,35457,0,9351,37624,36128,37449,28843,20995,17214,20270,37374,35057,0,0,1207,17989,8470,31844,334,0,36896,20459,33120,17047,4897,1184,0,28316,25302,0,34801,18749,0,27932,34097,14202,0,1623,29790,32868,35351,8432,32111,0,7645,11325,0,24225,0,35391,219,102,0,27387,35734,0,12128,0,32353,0,15590,20097,0,0,675,0,0,33486,0,0,33207,37519,11812,11402,23267,25544,27475,0,21639,0,36603,0,13574,15410,0,16617,0,9011,20758,25189,21417,31201,18096,6283,13631,14323,1648,12168,0,9506,2745,19442,481,246,0,21937,9615,685,0,329,3037,33487,6344,20659,0,36909,26103,37593,850,15219,29507,11728,5303,36287,26,0,0,14135,28454,0,35661,30919,9852,24026,12808,27931,29663,11398,5452,13590,8863,0,0,17245,9335,0,176,16563,8377,23680,16336,12375,0,37431,22192,0,0,0,1410,0,37596,33563,27599,17736,0,8258,1729,3116,13612,10187,8418,37339,30493,0,7793,32530,9869,36055,30045,2463,15445,536,0,7533,24599,13194,10119,33337,29168,0,32692,13128,6646,0,29134,24008,0,11543,35596,9442,33351,79,4533,37320,2381,37396,11900,0,22348,15019,36640,26671,34125,102,0,27993,30064,0,0,9612,4432,30681,11940,0,13329,21619,0,0,5874,17901,2582,11498,0,18105,35932,24891,22988,9497,0,22916,0,19165,0,28327,17661,4406,2078,258,32190,37654,36566,0,22009,0,35789,5715,17529,37608,24768,33434,36259,4319,0,23467,0,0,25881,2140,26418,9896,22843,28959,0,29431,33477,30942,37227,0,15530,37465,37566,33776,692,27050,32797,30545,30567,37090,37396,35612,37204,31668,31565,33078,32136,33186,34913,36176,29357,33579,36228,33117,"k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Moraxella; s__"
"OTU_10",411,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1606,0,0,0,0,0,0,0,0,0,0,184,7308,0,0,0,1034,0,0,0,0,0,0,0,0,20,0,0,0,0,0,4289,0,0,0,0,0,0,0,0,0,0,0,270,0,0,0,0,0,0,0,0,0,66,0,0,0,2169,0,0,0,0,0,1500,0,944,0,0,0,0,373,1947,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,219,0,0,0,13,0,0,0,0,1494,0,0,0,245,0,0,0,0,0,0,0,0,0,0,7945,0,0,136,0,0,0,556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2987,0,0,0,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,0,0,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,989,0,0,0,0,23074,0,0,0,0,0,0,42,0,0,0,0,0,0,1376,1255,0,0,0,160,26,0,3522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2678,0,35,0,0,0,0,316,0,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2888,0,717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__"
"OTU_100",27,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,6,0,0,0,50,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,19,0,0,0,0,37,0,0,0,0,0,0,0,0,0,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,28,0,0,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,68,0,0,0,0,0,0,12,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,2,0,20,0,0,0,0,0,2,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,"k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__nanceiensis"
"OTU_101",84,0,0,6,0,0,0,0,10,0,0,0,0,14,0,0,0,0,0,2,10,0,0,3,1,0,0,0,4,0,17,2,1,1,4,1,59,4,0,13,0,1,35,1,5,0,0,0,2,3,2,0,10,0,0,0,0,0,1,0,11,36,0,0,0,1,0,35,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,4,0,0,0,0,49,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,697,0,7,0,0,0,0,0,0,0,0,0,0,46,1,0,28,0,37,1,53,2,31,1,0,0,0,7,0,0,0,0,0,0,24,1,2,0,99,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2,7,0,0,0,0,0,0,0,0,0,0,0,0,2,6,10,0,0,0,1,2,0,0,68,0,0,0,14,90,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,0,0,0,118,2,0,0,0,1,0,0,0,0,405,0,0,2,34,2,0,0,0,0,13,0,0,12,0,0,2,0,0,1,0,0,2,0,1,0,0,1,0,0,4,0,0,0,0,0,0,14,0,0,0,79,0,0,0,0,0,0,6,0,0,0,3,0,15,0,0,23,1,0,0,1,0,0,4,0,0,0,0,0,0,2,0,0,26,1,0,0,0,0,0,4,7,0,4,0,0,1,0,0,0,0,0,0,1,30,126,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,"k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Intrasporangiaceae"
"OTU_102",280,0,0,0,0,0,0,1,0,0,0,0,1,26,0,0,0,0,1,0,14,0,0,0,1,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,22,0,0,3,0,0,0,36,0,16,0,0,0,0,0,0,0,0,5,0,42,0,0,0,0,0,0,0,338,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,18,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,13,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,445,0,0,0,0,0,10,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,27,0,0,2,0,0,0,0,1,0,0,0,3,0,0,54,0,0,0,5,2,0,0,0,0,0,0,124,0,0,0,0,43,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,13,0,0,3,52,0,0,0,0,0,0,0,3,0,0,0,0,0,0,12,1,"k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__prausnitzii"
"OTU_103",28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__"
"OTU_104",0,0,0,0,0,24,0,0,0,2,0,0,1,0,0,0,0,0,0,5,0,3,0,0,1,6,0,0,5,0,0,0,53,0,0,0,17,0,0,0,0,2,0,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,12,4,0,0,0,0,0,2,16,0,0,0,0,0,0,0,0,0,3,16,10,0,9,0,0,0,1,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,1,44,1,0,0,0,0,0,2,0,0,1,33,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,2,0,0,3,30,0,3,0,1,0,0,0,9,9,0,0,0,0,0,0,0,0,0,25,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,6,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,32,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,172,0,0,0,0,0,0,0,0,0,0,0,4,43,0,0,0,0,61,0,0,0,0,0,0,0,0,10,5,0,0,16,0,0,0,0,5,3,0,0,0,13,2,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,6,0,0,0,0,0,0,0,1,0,4,4,5,0,2,0,0,0,0,0,0,0,0,0,0,0,1,"k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__[Weeksellaceae]; g__; s__"
"OTU_1047",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"k__Bacteria; p__Chloroflexi; c__Gitt-GS-136; o__; f__; g__; s__"
"OTU_105",0,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16,0,8,0,178,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,18,3,0,2,0,0,0,0,0,3,0,437,0,1,0,0,0,0,0,6,0,0,0,0,5,0,0,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,14,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,16,6,8,0,0,0,0,0,0,0,0,11,0,0,0,114,0,13,0,0,0,0,0,0,0,0,0,0,29,0,0,17,0,505,0,1,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,506,0,0,0,8,0,0,0,1,57,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,12,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,12,1,0,0,37,0,0,0,0,0,2,0,0,0,0,0,11,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,"k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Tissierellaceae]; g__Parvimonas; s__"
"OTU_106",25,0,0,0,0,0,0,0,108,0,0,0,13,0,0,0,0,1,0,0,28,0,0,0,0,0,0,0,2,0,3,0,39,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,133,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,2,0,0,3,0,0,0,0,0,15,0,0,0,0,0,107,0,0,0,0,0,0,0,1,0,0,0,63,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,90,0,3,0,0,0,0,0,181,0,0,0,0,0,0,0,9,0,0,0,0,0,0,23,3,0,9,0,64,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,21,0,0,0,1,0,10,0,40,0,0,0,0,0,0,3,0,0,0,145,0,13,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,13,0,0,0,0,7,0,0,0,0,0,0,0,0,6,29,0,0,0,0,0,0,0,0,1,0,0,0,2,3,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__[Weeksellaceae]; g__; s__"
